,ano,origem,part,valor
0,2019,Público,10th Dec,1197.6
1,2019,Executivo,10th Dec,1187.62
2,2019,Judiciário,10th Dec,4381.22
3,2019,Legislativo,10th Dec,1167.66
4,2019,Estadual,10th Dec,1457.08
8,2019,Federal,10th Dec,2624.74
12,2019,Municipal,10th Dec,1097.8
525,2019,Público,20th Dec,1467.06
526,2019,Executivo,20th Dec,1447.1
527,2019,Judiciário,20th Dec,6037.9
528,2019,Legislativo,20th Dec,1586.82
529,2019,Estadual,20th Dec,1986.02
533,2019,Federal,20th Dec,4121.74
537,2019,Municipal,20th Dec,1297.4
1050,2019,Público,25th Dec,1626.74
1051,2019,Executivo,25th Dec,1596.8
1052,2019,Judiciário,25th Dec,6936.1
1053,2019,Legislativo,25th Dec,1846.3
1054,2019,Estadual,25th Dec,2235.52
1058,2019,Federal,25th Dec,4750.48
1062,2019,Municipal,25th Dec,1407.18
1575,2019,Público,30th Dec,1816.36
1576,2019,Executivo,30th Dec,1776.44
1577,2019,Judiciário,30th Dec,7704.56
1578,2019,Legislativo,30th Dec,2095.8
1579,2019,Estadual,30th Dec,2504.98
1583,2019,Federal,30th Dec,5209.56
1587,2019,Municipal,30th Dec,1526.94
2100,2019,Público,40th Dec,2255.48
2101,2019,Executivo,40th Dec,2185.62
2102,2019,Judiciário,40th Dec,9211.54
2103,2019,Legislativo,40th Dec,2784.42
2104,2019,Estadual,40th Dec,3123.74
2108,2019,Federal,40th Dec,6367.24
2112,2019,Municipal,40th Dec,1796.4
2625,2019,Público,50th Dec,2794.4
2626,2019,Executivo,50th Dec,2694.6
2627,2019,Judiciário,50th Dec,11137.68
2628,2019,Legislativo,50th Dec,3612.76
2629,2019,Estadual,50th Dec,3862.26
2633,2019,Federal,50th Dec,8263.44
2637,2019,Municipal,50th Dec,2155.68
3150,2019,Público,60th Dec,3493.0
3151,2019,Executivo,60th Dec,3343.3
3152,2019,Judiciário,60th Dec,12814.32
3153,2019,Legislativo,60th Dec,4670.64
3154,2019,Estadual,60th Dec,4650.68
3158,2019,Federal,60th Dec,10319.32
3162,2019,Municipal,60th Dec,2604.78
3675,2019,Público,70th Dec,4461.06
3676,2019,Executivo,70th Dec,4221.54
3677,2019,Judiciário,70th Dec,14700.54
3678,2019,Legislativo,70th Dec,6287.4
3679,2019,Estadual,70th Dec,5728.52
3683,2019,Federal,70th Dec,12774.4
3687,2019,Municipal,70th Dec,3183.62
4200,2019,Público,75th Dec,5099.78
4201,2019,Executivo,75th Dec,4780.42
4202,2019,Judiciário,75th Dec,15938.06
4203,2019,Legislativo,75th Dec,7325.32
4204,2019,Estadual,75th Dec,6397.18
4208,2019,Federal,75th Dec,14121.7
4212,2019,Municipal,75th Dec,3562.86
4725,2019,Público,80th Dec,5938.1
4726,2019,Executivo,80th Dec,5498.98
4727,2019,Judiciário,80th Dec,17494.94
4728,2019,Legislativo,80th Dec,8832.3
4729,2019,Estadual,80th Dec,7315.34
4733,2019,Federal,80th Dec,16437.06
4737,2019,Municipal,80th Dec,4041.9
5250,2019,Público,90th Dec,9211.54
5251,2019,Executivo,90th Dec,8173.62
5252,2019,Judiciário,90th Dec,21806.3
5253,2019,Legislativo,90th Dec,14790.36
5254,2019,Estadual,90th Dec,10409.14
5258,2019,Federal,90th Dec,20598.72
5262,2019,Municipal,90th Dec,5718.54
