ano;origem;part;valor
2019;Público;1º Decil;1197.6
2019;Executivo;1º Decil;1187.62
2019;Judiciário;1º Decil;4381.22
2019;Legislativo;1º Decil;1167.66
2019;Estadual;1º Decil;1457.08
2019;Executivo Estadual;1º Decil;1427.14
2019;Judiciário Estadual;1º Decil;4171.64
2019;Legislativo Estadual;1º Decil;1327.34
2019;Federal;1º Decil;2624.74
2019;Executivo Federal;1º Decil;2594.8
2019;Judiciário Federal;1º Decil;8253.46
2019;Legislativo Federal;1º Decil;1776.44
2019;Municipal;1º Decil;1097.8
2019;Executivo Municipal;1º Decil;1097.8
2019;Legislativo Municipal;1º Decil;1077.84
2018;Público;1º Decil;1141.19
2018;Executivo;1º Decil;1131.52
2018;Judiciário;1º Decil;4264.96
2018;Legislativo;1º Decil;1092.84
2018;Estadual;1º Decil;1382.97
2018;Executivo Estadual;1º Decil;1363.63
2018;Judiciário Estadual;1º Decil;4100.55
2018;Legislativo Estadual;1º Decil;1102.51
2018;Federal;1º Decil;2021.26
2018;Executivo Federal;1º Decil;1953.57
2018;Judiciário Federal;1º Decil;6711.76
2018;Legislativo Federal;1º Decil;1576.39
2018;Municipal;1º Decil;1044.48
2018;Executivo Municipal;1º Decil;1044.48
2018;Legislativo Municipal;1º Decil;1034.81
2017;Público;1º Decil;1143.13
2017;Executivo;1º Decil;1133.36
2017;Judiciário;1º Decil;4445.51
2017;Legislativo;1º Decil;1113.82
2017;Estadual;1º Decil;1348.31
2017;Executivo Estadual;1º Decil;1328.77
2017;Judiciário Estadual;1º Decil;4142.63
2017;Legislativo Estadual;1º Decil;1172.44
2017;Federal;1º Decil;1983.38
2017;Executivo Federal;1º Decil;1934.53
2017;Judiciário Federal;1º Decil;7220.3
2017;Legislativo Federal;1º Decil;1553.49
2017;Municipal;1º Decil;1064.97
2017;Executivo Municipal;1º Decil;1064.97
2017;Legislativo Municipal;1º Decil;1035.66
2016;Público;1º Decil;1105.74
2016;Executivo;1º Decil;1096.29
2016;Judiciário;1º Decil;4489.1
2016;Legislativo;1º Decil;1067.93
2016;Estadual;1º Decil;1323.1
2016;Executivo Estadual;1º Decil;1304.2
2016;Judiciário Estadual;1º Decil;4328.44
2016;Legislativo Estadual;1º Decil;1105.74
2016;Federal;1º Decil;1984.66
2016;Executivo Federal;1º Decil;1890.15
2016;Judiciário Federal;1º Decil;6303.64
2016;Legislativo Federal;1º Decil;1502.67
2016;Municipal;1º Decil;1039.58
2016;Executivo Municipal;1º Decil;1039.58
2016;Legislativo Municipal;1º Decil;1030.13
2015;Público;1º Decil;1110.69
2015;Executivo;1º Decil;1110.69
2015;Judiciário;1º Decil;4433.51
2015;Legislativo;1º Decil;1119.95
2015;Estadual;1º Decil;1379.11
2015;Executivo Estadual;1º Decil;1360.6
2015;Judiciário Estadual;1º Decil;4137.32
2015;Legislativo Estadual;1º Decil;1175.48
2015;Federal;1º Decil;2184.36
2015;Executivo Federal;1º Decil;2091.8
2015;Judiciário Federal;1º Decil;6830.75
2015;Legislativo Federal;1º Decil;1462.41
2015;Municipal;1º Decil;1027.39
2015;Executivo Municipal;1º Decil;1018.13
2015;Legislativo Municipal;1º Decil;1027.39
2014;Público;1º Decil;1105.93
2014;Executivo;1º Decil;1096.64
2014;Judiciário;1º Decil;4535.24
2014;Legislativo;1º Decil;1115.22
2014;Estadual;1º Decil;1366.15
2014;Executivo Estadual;1º Decil;1347.56
2014;Judiciário Estadual;1º Decil;4386.55
2014;Legislativo Estadual;1º Decil;1263.92
2014;Federal;1º Decil;2100.34
2014;Executivo Federal;1º Decil;1979.52
2014;Judiciário Federal;1º Decil;6421.83
2014;Legislativo Federal;1º Decil;1440.5
2014;Municipal;1º Decil;1022.29
2014;Executivo Municipal;1º Decil;1022.29
2014;Legislativo Municipal;1º Decil;1031.58
2013;Público;1º Decil;1070.4
2013;Executivo;1º Decil;1061.18
2013;Judiciário;1º Decil;4253.93
2013;Legislativo;1º Decil;1079.63
2013;Estadual;1º Decil;1291.87
2013;Executivo Estadual;1º Decil;1273.41
2013;Judiciário Estadual;1º Decil;4023.24
2013;Legislativo Estadual;1º Decil;1116.54
2013;Federal;1º Decil;2066.98
2013;Executivo Federal;1º Decil;1965.48
2013;Judiciário Federal;1º Decil;6717.7
2013;Legislativo Federal;1º Decil;1504.1
2013;Municipal;1º Decil;987.35
2013;Executivo Municipal;1º Decil;987.35
2013;Legislativo Municipal;1º Decil;1024.26
2012;Público;1º Decil;1053.71
2012;Executivo;1º Decil;1044.7
2012;Judiciário;1º Decil;4052.72
2012;Legislativo;1º Decil;1053.71
2012;Estadual;1º Decil;1278.86
2012;Executivo Estadual;1º Decil;1251.84
