ano;poder;faixa;percentual
2019;Executivo;< 2,5 mil;0.4644440422766921
2019;Executivo;2,5 - 5 mil;0.30245257573108475
2019;Executivo;5 - 7,5 mil;0.11630538028880416
2019;Executivo;7,5 - 10 mil;0.0492200160935265
2019;Executivo;10 - 12,5 mil;0.024077101692887664
2019;Executivo;12,5 - 15 mil;0.014073962739498565
2019;Executivo;15 - 17,5 mil;0.008362396769843145
2019;Executivo;17,5 - 20 mil;0.007496781805930884
2019;Executivo;20 - 22,5 mil;0.0042300208684165055
2019;Executivo;22,5 - 25 mil;0.003084456250453717
2019;Executivo;25 - 27,5 mil;0.0019050481936703568
2019;Executivo;27,5 - 30 mil;0.001925190663300727
2019;Executivo;> 30 mil;0.0024230266258909463
2019;Judiciario;< 2,5 mil;0.04547875398684266
2019;Judiciario;2,5 - 5 mil;0.08066585568083472
2019;Judiciario;5 - 7,5 mil;0.15709219214312084
2019;Judiciario;7,5 - 10 mil;0.15951304537284167
2019;Judiciario;10 - 12,5 mil;0.1400554375389606
2019;Judiciario;12,5 - 15 mil;0.1305233279469349
2019;Judiciario;15 - 17,5 mil;0.08698428261040604
2019;Judiciario;17,5 - 20 mil;0.06333859868910797
2019;Judiciario;20 - 22,5 mil;0.048846766042691746
2019;Judiciario;22,5 - 25 mil;0.03318384564639807
2019;Judiciario;25 - 27,5 mil;0.02040779272654647
2019;Judiciario;27,5 - 30 mil;0.012915251980560549
2019;Judiciario;> 30 mil;0.02099484963475377
2019;Legislativo;< 2,5 mil;0.364817136090085
2019;Legislativo;2,5 - 5 mil;0.2608260559429905
2019;Legislativo;5 - 7,5 mil;0.13122502545066725
2019;Legislativo;7,5 - 10 mil;0.07310747453201936
2019;Legislativo;10 - 12,5 mil;0.04150363234693242
2019;Legislativo;12,5 - 15 mil;0.03072085985165897
2019;Legislativo;15 - 17,5 mil;0.0259700686302347
2019;Legislativo;17,5 - 20 mil;0.018075167766643353
2019;Legislativo;20 - 22,5 mil;0.01248294632159948
2019;Legislativo;22,5 - 25 mil;0.011617277367258323
2019;Legislativo;25 - 27,5 mil;0.009775133832420341
2019;Legislativo;27,5 - 30 mil;0.008442003642734959
2019;Legislativo;> 30 mil;0.011437218224755363
2018;Executivo;< 2,5 mil;0.4766223343563866
2018;Executivo;2,5 - 5 mil;0.29762311205047143
2018;Executivo;5 - 7,5 mil;0.11425308331148966
2018;Executivo;7,5 - 10 mil;0.047399990966677887
2018;Executivo;10 - 12,5 mil;0.023863058781483742
2018;Executivo;12,5 - 15 mil;0.013439038980757248
2018;Executivo;15 - 17,5 mil;0.00816716852885249
2018;Executivo;17,5 - 20 mil;0.006820355427695259
2018;Executivo;20 - 22,5 mil;0.003692518338334204
2018;Executivo;22,5 - 25 mil;0.0025355430653769924
2018;Executivo;25 - 27,5 mil;0.0019005478571796272
2018;Executivo;27,5 - 30 mil;0.001399375990731575
2018;Executivo;> 30 mil;0.002283872344563252
2018;Judiciario;< 2,5 mil;0.044983027443760426
2018;Judiciario;2,5 - 5 mil;0.08327484034290317
2018;Judiciario;5 - 7,5 mil;0.15897244117139406
2018;Judiciario;7,5 - 10 mil;0.16504804096427134
2018;Judiciario;10 - 12,5 mil;0.14018180772107475
2018;Judiciario;12,5 - 15 mil;0.12530061561475175
2018;Judiciario;15 - 17,5 mil;0.08245497957539842
2018;Judiciario;17,5 - 20 mil;0.05176341982624705
2018;Judiciario;20 - 22,5 mil;0.04054427248144526
2018;Judiciario;22,5 - 25 mil;0.02708992578102526
2018;Judiciario;25 - 27,5 mil;0.017726252804786836
2018;Judiciario;27,5 - 30 mil;0.021437201541913583
2018;Judiciario;> 30 mil;0.041223174731028135
2018;Legislativo;< 2,5 mil;0.37958139726756895
2018;Legislativo;2,5 - 5 mil;0.2563482330704409
2018;Legislativo;5 - 7,5 mil;0.1242532317766052
2018;Legislativo;7,5 - 10 mil;0.06414049930807916
2018;Legislativo;10 - 12,5 mil;0.04056643752648613
2018;Legislativo;12,5 - 15 mil;0.03019700055128652
2018;Legislativo;15 - 17,5 mil;0.02408034532287764
2018;Legislativo;17,5 - 20 mil;0.019887567551350276
2018;Legislativo;20 - 22,5 mil;0.014978492325116539
2018;Legislativo;22,5 - 25 mil;0.01099197821855698
2018;Legislativo;25 - 27,5 mil;0.010459442938094648
2018;Legislativo;27,5 - 30 mil;0.008280548586343845
2018;Legislativo;> 30 mil;0.016234825557193164
2017;Executivo;< 2,5 mil;0.4831267028745031
2017;Executivo;2,5 - 5 mil;0.29462011156986906
2017;Executivo;5 - 7,5 mil;0.11207666647598913
2017;Executivo;7,5 - 10 mil;0.04565006413817801
2017;Executivo;10 - 12,5 mil;0.024128414270725016
2017;Executivo;12,5 - 15 mil;0.012870440096822398
2017;Executivo;15 - 17,5 mil;0.00804078044055915
2017;Executivo;17,5 - 20 mil;0.006632933720225898
2017;Executivo;20 - 22,5 mil;0.0038545595309645957
2017;Executivo;22,5 - 25 mil;0.002746638132948217
2017;Executivo;25 - 27,5 mil;0.002459936167428463
2017;Executivo;27,5 - 30 mil;0.001320474614681178
2017;Executivo;> 30 mil;0.0024722779671057737
2017;Judiciario;< 2,5 mil;0.040245190793868464
2017;Judiciario;2,5 - 5 mil;0.08225898056895328
2017;Judiciario;5 - 7,5 mil;0.17313436349564618
2017;Judiciario;7,5 - 10 mil;0.17113328644535147
2017;Judiciario;10 - 12,5 mil;0.14698205210451507
2017;Judiciario;12,5 - 15 mil;0.12167725569939114
2017;Judiciario;15 - 17,5 mil;0.079907715034857
2017;Judiciario;17,5 - 20 mil;0.05172489898975036
2017;Judiciario;20 - 22,5 mil;0.03523955540776359
2017;Judiciario;22,5 - 25 mil;0.025551988276042693
2017;Judiciario;25 - 27,5 mil;0.015102246208988956
